country,city,season,pollutant,seasonal_avg
CL,Arica,spring,pm25,15.15
CL,Balneario Curanilahue,spring,pm25,147.0
CL,Cabrero,autumn,co,13698.5
CL,Cabrero,autumn,o3,13.66
CL,Cabrero,autumn,pm10,37.46
CL,Cabrero,autumn,so2,2.06
CL,Cabrero,summer,co,666.27
CL,Cabrero,summer,no2,2.88
CL,Cabrero,summer,o3,19.01
CL,Cabrero,summer,pm10,15.55
CL,Cabrero,summer,pm25,0.0
CL,Cabrero,summer,so2,3.68
CL,Calabozo,winter,so2,3.9
CL,Calama,spring,co,552.25
CL,Calama,spring,o3,38.25
CL,Calama,spring,pm10,34.9
CL,Calama,spring,pm25,6.455
CL,Calama,spring,so2,3.125
CL,Catemu,spring,so2,7.0
CL,Cayumanqui,winter,so2,0.0
CL,Centro Quintero,spring,co,788.58
CL,Centro Quintero,spring,no2,24.97
CL,Centro Quintero,spring,o3,13.19
CL,Centro Quintero,spring,so2,462.89
CL,Cerrillos,spring,o3,0.0
CL,Cerrillos,spring,pm10,188.0
CL,Cerrillos,spring,pm25,61.0
CL,Cerrillos,winter,co,950.18
CL,Cerrillos,winter,no2,36.97
CL,Cerro Navia,spring,co,1648.51
CL,Cerro Navia,spring,no2,105.47
CL,Cerro Navia,spring,o3,5.63
CL,Cerro Navia,spring,pm10,151.0
CL,Cerro Navia,spring,pm25,55.0
CL,Chaitén,spring,pm10,51.99
CL,Chillán,spring,pm10,87.02
CL,Chillán,spring,pm25,49.0
CL,Club Deportivo 23 de Marzo,spring,pm10,55.13
CL,Club Deportivo 23 de Marzo,spring,pm25,0.66
CL,Concepción,spring,co,874.96
CL,Concepción,spring,o3,18.43
CL,Concepción,spring,pm10,59.0
CL,Concepción,spring,pm25,43.0
CL,Concepción,spring,so2,17.97
CL,Concón,spring,co,852.88
CL,Concón,spring,no2,46.71
CL,Concón,spring,o3,20.055
CL,Concón,spring,pm25,34.0
CL,Concón,spring,so2,91.84
